column,bin_start,bin_end,mz_start,mz_end,mean_abs,mean_signed,rows_used,nonzero_rows,value_correlation
2658,2658,2658,9974.0,9977.0,0.019026377926629402,-0.00011991277123980848,426,426,0.8318962958076327
5233,5233,5233,17699.0,17702.0,0.018946910134200006,-0.0024263094419457476,426,426,0.7623377952646622
1711,1711,1711,7133.0,7136.0,0.018879599985481152,-0.0011939353018129398,426,426,-0.697135639293815
670,670,670,4010.0,4013.0,0.018819462268635057,0.00039618111947375165,426,426,0.789334425065339
2109,2109,2109,8327.0,8330.0,0.018809803894216545,-0.002382994847705789,426,426,-0.642890787347033
780,780,780,4340.0,4343.0,0.018630854328140614,0.001205412700340924,426,426,0.3948109874289129
868,868,868,4604.0,4607.0,0.01832080854772273,-0.002672552243367103,426,426,0.5153237651560277
1143,1143,1143,5429.0,5432.0,0.017771869778484894,0.0017229739183255263,426,426,-0.7948153336605942
3542,3542,3542,12626.0,12629.0,0.01762411977776089,-0.00021172790600962316,426,426,-0.627846093392935
180,180,180,2540.0,2543.0,0.01751515182793548,0.0010932879987604026,426,426,0.02837864215185035
3251,3251,3251,11753.0,11756.0,0.01750865329350631,-0.0017624614912848807,426,426,0.7332563428840176
5693,5693,5693,19079.0,19082.0,0.017266649966940203,-0.0005061872428444595,426,426,-0.6533863934125717
1012,1012,1012,5036.0,5039.0,0.01725169063569614,-0.0003316218117346534,426,426,0.7918349052851341
2503,2503,2503,9509.0,9512.0,0.017236745643607294,0.0006982746326259266,426,426,-0.26907900634278187
2052,2052,2052,8156.0,8159.0,0.017074863228733268,-0.00317323065668217,426,426,-0.41331072258041984
2437,2437,2437,9311.0,9314.0,0.016969330890412384,0.00041963606240725295,426,426,0.8103964190155397
1297,1297,1297,5891.0,5894.0,0.016952570941671154,0.00099551731624073,426,426,0.7373887296779714
88,88,88,2264.0,2267.0,0.016750494962894647,0.0026240114278510487,426,426,0.7223670664294348
1901,1901,1901,7703.0,7706.0,0.016519967283522678,0.00017119970068686324,426,426,0.7577635533548446
191,191,191,2573.0,2576.0,0.016413771754153553,-0.002972318407438264,426,426,0.5560589768116898
2195,2195,2195,8585.0,8588.0,0.016397089291386634,0.0007449214180118117,426,426,0.5646118950928328
762,762,762,4286.0,4289.0,0.01596445056020267,0.001055960834337299,426,426,-0.8469649914918634
2588,2588,2588,9764.0,9767.0,0.015929126221379854,0.0014076817345277293,426,426,0.7305802308772692
4267,4267,4267,14801.0,14804.0,0.015715010269127683,-0.0007736246356140846,426,426,0.6381824202600992
3295,3295,3295,11885.0,11888.0,0.015511592181353053,0.0016491637270129623,426,426,-0.4013937619186708
481,481,481,3443.0,3446.0,0.015212349314251862,0.0003573407245749584,426,426,-0.7512487072871171
495,495,495,3485.0,3488.0,0.01515137802056898,-0.0013649321825857442,426,426,-0.72115912446715
941,941,941,4823.0,4826.0,0.014881711369485408,0.00035906201665329967,426,426,-0.5870786532114578
1079,1079,1079,5237.0,5240.0,0.014851438654222724,-0.000437002002475306,426,426,0.8310709774558634
3234,3234,3234,11702.0,11705.0,0.014793706209934717,0.0006664582579855034,426,426,-0.8385303853411851
982,982,982,4946.0,4949.0,0.014759107322783961,0.0008189976396545113,426,426,-0.6167474276711378
807,807,807,4421.0,4424.0,0.014597583586983636,-0.00031659810479368926,426,426,0.6795639798288283
1799,1799,1799,7397.0,7400.0,0.0144804771465713,-0.0012981375160247307,426,426,0.8023763797830377
2451,2451,2451,9353.0,9356.0,0.014227130285520301,0.0004568592082362966,426,426,-0.6948599213409677
3250,3250,3250,11750.0,11753.0,0.014187629880551611,5.8723359672254565e-05,426,426,0.4613455317616873
3178,3178,3178,11534.0,11537.0,0.014144314730825714,0.00024095681230296324,426,426,-0.6158114834279744
3233,3233,3233,11699.0,11702.0,0.014113186741166552,-0.0002501389243233082,426,426,-0.7372873285673363
876,876,876,4628.0,4631.0,0.013999046559052965,7.69473141863772e-05,426,426,-0.5895446740229225
2631,2631,2631,9893.0,9896.0,0.013989821865053683,0.001144667029552338,426,426,-0.8351995871079902
2053,2053,2053,8159.0,8162.0,0.013955614426967395,-0.0032425629654248412,426,426,-0.7569039895615948
1521,1521,1521,6563.0,6566.0,0.01395283945869836,-0.0002721335832339104,426,426,-0.7866947102091818
1212,1212,1212,5636.0,5639.0,0.013900604313952222,-0.001198190342901514,426,426,0.46683332395530364
