side,cut,n_covered,coverage,achieved
resistant,0.2765909972615822,132,0.30985915492957744,0.4393939393939394
resistant,0.2769793966923498,131,0.3075117370892019,0.44274809160305345
resistant,0.27706559904804684,130,0.3051643192488263,0.4461538461538462
resistant,0.27950940755387765,129,0.3028169014084507,0.4496124031007752
resistant,0.28153929264149014,128,0.3004694835680751,0.4453125
resistant,0.2818360307673202,127,0.2981220657276995,0.44881889763779526
resistant,0.2845823335623414,126,0.29577464788732394,0.4444444444444444
resistant,0.28503846950609263,125,0.2934272300469484,0.44
resistant,0.28608184905356865,124,0.29107981220657275,0.4435483870967742
resistant,0.2879000636571491,123,0.2887323943661972,0.44715447154471544
resistant,0.2898223972160188,122,0.2863849765258216,0.45081967213114754
resistant,0.2910196493637542,121,0.284037558685446,0.45454545454545453
resistant,0.29308888621921725,120,0.28169014084507044,0.4583333333333333
resistant,0.2930973250155827,119,0.2793427230046948,0.46218487394957986
resistant,0.2987681139777053,118,0.27699530516431925,0.4661016949152542
resistant,0.3005017463880185,117,0.2746478873239437,0.46153846153846156
resistant,0.3005241765784158,116,0.27230046948356806,0.45689655172413796
resistant,0.30159407937235466,115,0.2699530516431925,0.4608695652173913
resistant,0.3026984738817276,114,0.2676056338028169,0.4649122807017544
resistant,0.30300728848648767,113,0.2652582159624413,0.4690265486725664
resistant,0.3031302273801833,112,0.26291079812206575,0.4642857142857143
resistant,0.30330106094845893,111,0.2605633802816901,0.46846846846846846
resistant,0.3086383630049598,110,0.25821596244131456,0.4727272727272727
resistant,0.3132815874093343,109,0.25586854460093894,0.47706422018348627
resistant,0.3142616044224969,108,0.2535211267605634,0.48148148148148145
resistant,0.3150697053438545,107,0.2511737089201878,0.48598130841121495
resistant,0.3166658721660948,106,0.24882629107981222,0.49056603773584906
resistant,0.3170561642233421,105,0.24647887323943662,0.49523809523809526
resistant,0.31736566096368013,104,0.24413145539906103,0.5
resistant,0.3183377676405896,103,0.24178403755868544,0.5048543689320388
resistant,0.3190341784479218,102,0.23943661971830985,0.5
resistant,0.32721471661251056,101,0.23708920187793428,0.49504950495049505
resistant,0.33177132067164833,100,0.2347417840375587,0.49
resistant,0.33274029943212163,99,0.2323943661971831,0.48484848484848486
resistant,0.3382975345732634,98,0.2300469483568075,0.47959183673469385
resistant,0.3398499428787279,97,0.22769953051643194,0.4742268041237113
resistant,0.34442775793895897,96,0.22535211267605634,0.46875
resistant,0.3447629393218369,95,0.22300469483568075,0.4631578947368421
resistant,0.34555876393036694,94,0.22065727699530516,0.46808510638297873
resistant,0.3538507311235346,93,0.21830985915492956,0.4731182795698925
resistant,0.35764779901358373,92,0.215962441314554,0.4782608695652174
resistant,0.35827799029858964,91,0.2136150234741784,0.4835164835164835
resistant,0.3593000678588863,90,0.2112676056338028,0.4777777777777778
resistant,0.3605703055251392,89,0.20892018779342722,0.48314606741573035
resistant,0.3616605632412691,88,0.20657276995305165,0.48863636363636365
resistant,0.3618534903502115,87,0.20422535211267606,0.4942528735632184
resistant,0.3618864695019476,86,0.20187793427230047,0.4883720930232558
resistant,0.3620793385262561,85,0.19953051643192488,0.49411764705882355
resistant,0.3639290337340289,84,0.19718309859154928,0.4880952380952381
resistant,0.36607349617395546,83,0.19483568075117372,0.4939759036144578
resistant,0.3674061849285183,82,0.19248826291079812,0.5
resistant,0.3752394521545091,81,0.19014084507042253,0.5061728395061729
resistant,0.37556256754862666,80,0.18779342723004694,0.5125
resistant,0.37825978666554455,79,0.18544600938967137,0.5189873417721519
resistant,0.38080546417600525,78,0.18309859154929578,0.5256410256410257
resistant,0.38084103886573134,77,0.1807511737089202,0.5324675324675324
resistant,0.3821039959537139,76,0.1784037558685446,0.5394736842105263
resistant,0.38278129149404744,75,0.176056338028169,0.5466666666666666
resistant,0.3935298962402122,74,0.17370892018779344,0.5540540540540541
resistant,0.39385468096586995,73,0.17136150234741784,0.547945205479452
resistant,0.39396994871816454,72,0.16901408450704225,0.5555555555555556
resistant,0.396941040422306,71,0.16666666666666666,0.5633802816901409
resistant,0.397936189141013,70,0.1643192488262911,0.5714285714285714
resistant,0.4002396770528011,69,0.1619718309859155,0.5797101449275363
resistant,0.40028000737554276,68,0.1596244131455399,0.5882352941176471
resistant,0.4007485843369957,67,0.1572769953051643,0.582089552238806
